name,category,url,reason
Kinsta,,https://kinsta.com/pricing/,"Se trata de un IaaS, no de un SaaS"
Apty,,https://www.apty.io,"No se trata de un SaaS, es una consultora para transformación digital"
Wix,Web Creation,https://www.wix.com/plans,"No se puede extraer de forma automática el número de features."
Loio,Legal Documentation,https://lawrina.org/loio/pricing/,"No se puede extraer de forma automática el número de features."
Ahrefs,SEO,https://ahrefs.com/pricing,"No se puede extraer de forma automática el número de features."
Appy Pie,No-code website builder,https://www.appypie.com/es/plan-de-precios-de-la-aplicacion,"No sigue una estructura clara de pricing, hay features fantasmas, etc"
TaskClone,Productivity,https://taskclone.com/pricing/,"No se puede extraer de forma automática el número de features. Sin formato tabular"
Cartoonize,Photo Edition,https://www.cartoonize.net/pricing/,"No se puede extraer de forma automática el número de features. Sin formato tabular. Una sola subscripción, no hay múltiples planes"
TimeJam,Time Tracking,https://www.timejam.app/#pricing,"No se puede extraer de forma automática el número de features. Sin formato tabular."
Navetor,Pet Clinic,https://www.navetor.com/pricing,"No se puede extraer de forma automática el número de features. Sin formato tabular"
Pipedrive,CRM,https://www.pipedrive.com/en/pricing,"No se puede extraer de forma automática el número de features, están en un modal y requiere hacer más de un paso previo que no coincide con el estándar para verlo"
Make,Productivity,https://www.make.org/pricing,"No se tuvo en cuenta en la primera extracción"
